Title,Type,Department,Medium,Year~,Artist
Vessel,Vessel,Asian Art,Terracotta,200,
Shard:  Neckpiece with Head of Antelope,Shard,Asian Art,Painted terracotta,550,
Shard:  Offerer with Flower,Shard,Asian Art,Painted terracotta,550,
Shard:  Neckpiece with Birds,Shard,Asian Art,Painted terracotta,550,
Shard:  Head of Figure,Shard,Asian Art,Painted terracotta,550,
Shard:   Neck of Vessel with Carnivore,Shard,Asian Art,Painted terracotta,550,
Shard:  Forepaws of Spotted Carnivore,Shard,Asian Art,Painted terracotta,550,
Shard:  Floral Meander,Shard,Asian Art,Painted terracotta,550,
Shard:  Head of Offerer with Plant,Shard,Asian Art,Painted terracotta,550,
Shard:  Head of Figure(?),Shard,Asian Art,Painted terracotta,550,
Shard:  Carnivore's Torso,Shard,Asian Art,Painted terracotta,550,
Shard:  Bird From Neck,Shard,Asian Art,Painted terracotta,550,
Shard:  Shoulder of Vessel with Offerer,Shard,Asian Art,Painted terracotta,550,
Shard:  Offerer with Flower,Shard,Asian Art,Painted terracotta,550,
Shard:  Head of Offerer,Shard,Asian Art,Painted terracotta,550,
Shard:  Face of Offerer,Shard,Asian Art,Painted terracotta,550,
Shard:  Forepaws of Carnivore,Shard,Asian Art,Painted terracotta,550,
Shard:  Neckpiece with Figure Looking Back,Shard,Asian Art,Painted terracotta,550,
Shard:  Torso of Offerer,Shard,Asian Art,Painted terracotta,550,
Shard:Torso of a Bird,Shard,Asian Art,Painted terracotta,550,
Shard:  Neckpiece with Head of Offerer,Shard,Asian Art,Painted terracotta,550,
Shard:  Head of Offerer,Shard,Asian Art,Painted terracotta,550,
Shard:  Shoulder of Offerer with Crosshatching,Shard,Asian Art,Painted terracotta,550,
Shard:  Torso of Offerer,Shard,Asian Art,Painted terracotta,550,
Shard:  Torso with Flower,Shard,Asian Art,Painted terracotta,550,
Shard:  Profile of Offerer,Shard,Asian Art,Painted terracotta,550,
Shard:  Face from Inside of Vessel,Shard,Asian Art,Painted terracotta,550,
Shard:  Hand of Offerer,Shard,Asian Art,Painted terracotta,550,
Shard:  Offerer with Flower,Shard,Asian Art,Painted terracotta,550,
Shard with Figural Decoration,Shard,Asian Art,Painted terracotta,550,
Fragment of a Vase,Shard,Asian Art,Painted terracotta,550,
Lug from a Vessel,Fragment,Asian Art,Painted terracotta,550,
Bottle with Stopper,Bottle,Asian Art,Terracotta,1450,
Bottle with Bulbous Neck,Bottle,Asian Art,Terracotta,1450,
Bottle with Bulbous Neck,Bottle,Asian Art,Terracotta,1450,
Bottle with Bulbous Neck,Bottle,Asian Art,Terracotta,1399,
Bottle with Bulbous Neck,Bottle,Asian Art,Terracotta,1450,
Cup with Painted Decoration,Cup,Asian Art,Painted terracotta,550,
Shard with Figural Decoration,Shard,Asian Art,Painted terracotta,550,
Shard with Figural and Animal Decoration,Shard,Asian Art,Painted terracotta,550,
Shard with Figural Decoration,Shard,Asian Art,Painted terracotta,499,
Figure,Figure,The Michael C. Rockefeller Wing,Terracotta,2000,Dogon artist
Shard:  Shoulder of Vessel with Profile of Offerer with Flower,Shard,Asian Art,Painted terracotta,550,
Shard:  Shoulder of Vessel with Ornament of Mastif,Shard,Asian Art,Painted terracotta,550,
Shard:  Bust and Profile of a Figure,Shard,Asian Art,Painted terracotta,550,
Shard:  Lower Face and Torso of Chubby Offerer,Shard,Asian Art,Painted terracotta,550,
Shard:  Neckpiece with Female Offerer and Crosshatched Ornamentation,Shard,Asian Art,Painted terracotta,550,
Shard:  Lower Part of Torso with Kushan Dress,Shard,Asian Art,Painted terracotta,550,
Shard:  Encrusted Neckpiece with Head and Hand,Shard,Asian Art,Painted terracotta,550,
Shard:  Lotus Flower (Partial with Costume Fragment?),Shard,Asian Art,Painted terracotta,550,
Shard from the Neck of a Vessel,Shard,Asian Art,Painted terracotta,550,
Smiling figure (Sonriente),Male figure,The Michael C. Rockefeller Wing,"Ceramic, slip, paint",1000,South central Veracruz artist(s)
Shard with Figural Decoration,Shard,Asian Art,Painted terracotta,550,
Shard with Figural Decoration,Shard,Asian Art,Painted terracotta,550,
Shard with Figural Decoration,Shard,Asian Art,Painted terracotta,550,
Shard with Figural Decoration,Shard,Asian Art,Painted terracotta,550,
Millet Beer Vessel,Vessel,The Michael C. Rockefeller Wing,Terracotta,2025,Senufo artist
Water Vessel,Vessel,The Michael C. Rockefeller Wing,Terracotta,2025,Baule artist
Water Vessel,Vessel,The Michael C. Rockefeller Wing,Terracotta,2000,Senufo artist
Vessel,Vessel,The Michael C. Rockefeller Wing,Terracotta,2000,Bamana artist
Vessel,Ceramic vessel,The Michael C. Rockefeller Wing,Terracotta,1990,Kumam artist
Toy in the form of a makara,Toy,Asian Art,Terracotta,-100,
Shard with Figural and Animal Decoration,Shard,Asian Art,Painted terracotta,550,
Ukhamba (beer drinking vessel),Ceramic vessel,The Michael C. Rockefeller Wing,Terracotta,1980,Siphiwe Nellie MaS'Khakhane Nala
Uphiso (beer vessel),Ceramic vessel,The Michael C. Rockefeller Wing,Terracotta,1990,Nesta Landeleni Nala
Vase,Vase,European Sculpture and Decorative Arts,Glazed terracotta,1505,Giovanni della Robbia
Figure: Bird,Bird figure,The Michael C. Rockefeller Wing,Terracotta,1400,Middle Niger artist
Crouching Figure,Crouching figure,The Michael C. Rockefeller Wing,Terracotta,1897,Middle Niger artist
Vessel,Vessel,The Michael C. Rockefeller Wing,"Terracotta, slip",1600,Middle Niger artist
Vessel: Zoomorphic,Vessel,The Michael C. Rockefeller Wing,Terracotta,1500,Middle Niger artist
Vessel,Vessel,The Michael C. Rockefeller Wing,Terracotta,2000,Bamana artist
Vessel: Footed Base,Vessel,The Michael C. Rockefeller Wing,Terracotta,1800,Dogon artist
Vessel: Male Figure,Vessel,The Michael C. Rockefeller Wing,"Terracotta, metal",2000,Dogon blacksmith
Figure: Zoomorphic,Figure,The Michael C. Rockefeller Wing,Terracotta,2000,Dogon artist
Jar for Palm Wine,Jar,The Michael C. Rockefeller Wing,Terracotta,2000,Igbo artist
Male Head,Head figure,The Michael C. Rockefeller Wing,Terracotta,2000,Baule artist
Mma (commemorative portrait),Head,The Michael C. Rockefeller Wing,Terracotta,1970,Akan artist
Mma (commemorative portrait),Head,The Michael C. Rockefeller Wing,Terracotta,2000,Akan artist
Mma (commemorative portrait),Head,The Michael C. Rockefeller Wing,Terracotta,1970,Akan artist
Tile with Impressed Figure of Emaciated Ascetics and Couples Behind Balconies,Tile,Asian Art,Terracotta,599,
Tile,Tile,European Sculpture and Decorative Arts,Terracotta,1564,
Figure: Buffalo Head,Buffalo head figure,The Michael C. Rockefeller Wing,Terracotta,2000,
Water or Palm Wine Vessel,Vessel,The Michael C. Rockefeller Wing,Terracotta,2000,Nupe artist
Pottery Fragments,Fragment,Medieval Art,Terracotta and stone,699,
Maternity Figure (Ntekpe),Figure,The Michael C. Rockefeller Wing,"Terracotta, pigment",2000,Igbo or Goemai artist
Medicine Vessel,Vessel,The Michael C. Rockefeller Wing,Terracotta,2000,Dan or Guere artist
Vessel,Vessel,The Michael C. Rockefeller Wing,Terracotta,2000,Kurumba artist
Vessel,Vessel,The Michael C. Rockefeller Wing,Terracotta,2000,Lagoon or Akye-Akan artist
Funerary Vessel,Vessel,The Michael C. Rockefeller Wing,Terracotta,2000,Akan artist
Kandyan chief processing to a temple,Tile,Asian Art,Painted terracotta,1899,
Vessel,Vessel,The Michael C. Rockefeller Wing,"Terracotta, slip",2000,Middle Niger artist
Mma (commemorative portrait),Head,The Michael C. Rockefeller Wing,"Terracotta, slip",1970,Akan artist
Bottle,Bottle,Asian Art,Terracotta with inlaid clay designs,1399,
Bottle,Bottle,Asian Art,Terracotta with inlaid designs,1399,
Vessel,Vessel,The Michael C. Rockefeller Wing,Terracotta,2000,
Mma (commemorative portrait),Figure,The Michael C. Rockefeller Wing,Terracotta,2000,Asante-Akan artist
Vessel,Vessel,The Michael C. Rockefeller Wing,Terracotta,2000,Wè or Guere artist
Grave Marker,Grave marker,The Michael C. Rockefeller Wing,Terracotta,1100,
Grave Marker,Grave marker,The Michael C. Rockefeller Wing,Terracotta,1100,
Vessel,Vessel,The Michael C. Rockefeller Wing,Terracotta,2000,
Vessel: Animal Handle,Vessel,The Michael C. Rockefeller Wing,Terracotta,2000,
Pipe Bowl,Pipe bowl,The Michael C. Rockefeller Wing,Terracotta,2025,
Pipe Bowl,Pipe bowl,The Michael C. Rockefeller Wing,Terracotta,2025,
Pipe,Pipe,The Michael C. Rockefeller Wing,"Terracotta, wood",2000,
Pipe,Pipe,The Michael C. Rockefeller Wing,"Terracotta, wood, iron",2000,
Pipe,Pipe,The Michael C. Rockefeller Wing,"Terracotta, wood",2000,
Pipe,Pipe,The Michael C. Rockefeller Wing,"Terracotta, wood, iron",2000,
Pipe,Pipe,The Michael C. Rockefeller Wing,"Terracotta, wood, copper",2000,
Vessel,Vessel,The Michael C. Rockefeller Wing,"Terracotta, metal (hammered)",2000,Nupe artist
Female Head,Female head figure,The Michael C. Rockefeller Wing,Terracotta,2000,Baule artist
Figurative Vessel,Vessel,The Michael C. Rockefeller Wing,Terracotta,1950,Mangbetu artist
Vessel,Vessel,The Michael C. Rockefeller Wing,Terracotta,2025,"Mangbetu, Zande, or Barambo artist"
Memorial Figure (Mma),Figure,The Michael C. Rockefeller Wing,Terracotta,2000,Anyi-Akan artist
Funerary Vessel,Vessel,The Michael C. Rockefeller Wing,Terracotta,1970,Asante-Akan artist
Round dish with cattail border,Dish,European Sculpture and Decorative Arts,Glazed terracotta,1878,Emile Gambut
Figurative Vessel,Vessel,The Michael C. Rockefeller Wing,Terracotta,2000,
Model Pipe Bowl: Head,Pipe bowl,The Michael C. Rockefeller Wing,Terracotta,2000,
Model Pipe Bowl: Baboon,Pipe bowl,The Michael C. Rockefeller Wing,Terracotta,2000,
Model Pipe Bowl: Head,Pipe bowl,The Michael C. Rockefeller Wing,Terracotta,2000,
Model Pipe Bowl: Head,Pipe bowl,The Michael C. Rockefeller Wing,Terracotta,2000,
Model Pipe Bowl: Head,Pipe bowl,The Michael C. Rockefeller Wing,Terracotta,2000,
Model Pipe Bowl: Head,Pipe bowl,The Michael C. Rockefeller Wing,Terracotta,2000,
Pastille burner with cover,Pastille burner with cover,European Sculpture and Decorative Arts,Terracotta,1790,Josiah Wedgwood and Sons
Lidded Vessel: Female Figure (Eyinle),Vessel with lid,The Michael C. Rockefeller Wing,Terracotta,2000,Yoruba artist
Vessel: Openwork Base,Vessel,The Michael C. Rockefeller Wing,Terracotta,2000,
Model Pipe Bowl: Head,Pipe bowl,The Michael C. Rockefeller Wing,Terracotta,2000,
Model Pipe Bowl: Double Gong,Pipe bowl,The Michael C. Rockefeller Wing,"Terracotta, pigment",2000,
Model Pipe Bowl: Head,Pipe bowl,The Michael C. Rockefeller Wing,Terracotta,2000,
Auspicious Emblem with Five Revelers,Ceramic,Asian Art,Double-molded terracotta,199,
Small Head of a Woman with a Crown of Flowers,Ceramics,Modern and Contemporary Art,Terracotta with black slip,1964,Pablo Picasso
Head of a Man with a Mustache,Ceramics,Modern and Contemporary Art,Terracotta with black slip,1966,Pablo Picasso
Célestine with a Woman and a Cavalier on Foot,Ceramics,Modern and Contemporary Art,Terracotta with black slip,1968,Pablo Picasso
Large Head of Jacqueline in a Hat,Ceramic,Modern and Contemporary Art,Terracotta with black slip,1964,Pablo Picasso
"Célestine with a Woman, a Cavalier, and His Valet",Ceramics,Modern and Contemporary Art,Terracotta with black slip,1968,Pablo Picasso
"""Le déjeuner sur l'herbe"", after Manet I",Ceramic,Modern and Contemporary Art,Terracotta with black slip,1964,Pablo Picasso
A Glass by Lamplight,Ceramic,Modern and Contemporary Art,Terracotta with black slip,1964,Pablo Picasso
Jacqueline in a Printed Dress,Ceramics,Modern and Contemporary Art,Terracotta with black slip,1964,Pablo Picasso
Jacqueline with a Headband III,Ceramics,Modern and Contemporary Art,Terracotta with black slip,1964,Pablo Picasso
Celadon Jar,Jar,Asian Art,Porcelain with celadon glaze,2001,Kawase Shinobu
Vase in Meiping Shape,Vase,Asian Art,Porcelain with celadon glaze (Jingdezhen ware),1799,
Vase,Vase,Asian Art,Porcelain with celadon glaze (Jingdezhen ware),1688,
Bowl with Radish and Vegetables,Bowl,Asian Art,"orcelain with carved decoration under celadon glaze (Hizen ware, Arita type)",1699,
Vase,Vase,Asian Art,"Porcelain covered with a celadon glaze, the top covered with colored glazes",1890,Inoue Ryōsai III
Bowl,Bowl,Asian Art,Porcelaneous ware with relief decoration under celadon glaze (Longquan ware),1299,
Bottle with Lotus Scroll,Bottle,Asian Art,Porcelain with incised decoration under celadon glaze (Jingdezhen Qingbai ware),1333,
Vase with dragon amid clouds,Vase,Asian Art,Porcelain with carved decoration under celadon glaze (Jingdezhen ware),1766,
Water Jar with Swirling Clouds,Jar,Asian Art,Porcelain with incised decoration under celadon glaze (Jingdezhen ware),1722,
Water jar with clouds,Water jar,Asian Art,Porcelain with raised decoration under celadon glaze (Jingdezhen ware),1722,
Dish with waves and medallion character of longevity (shou),Dish,Asian Art,Porcelain with impressed decoration under celadon glaze (Jingdezhen ware),1735,
Ewer,Ewer,Asian Art,Porcelain with incised decoration under celadon glaze (Jingdezhen ware),1735,
Incense Burner (Kōro) in the Shape of a Courtier’s Hat with Scrolling Peonies,Incense burner,Asian Art,"Porcelain with celadon glaze (Hizen ware, Nabeshima type)",1750,
Two Cylindrical Food Cups (Choku),Cup,Asian Art,"Porcelain with celadon decoration (Hizen ware, Nabeshima type)",1799,
Two Cylindrical Food Cups (Choku) with Striped Design,Cup,Asian Art,"Porcelain with celadon decoration (Hizen ware, Nabeshima type)",1799,
Large Bowl (Hachi) with Flower Medallions,Bowl,Asian Art,"Porcelain with celadon glaze, cobalt-blue patterns under celadon glaze, and iron-painted rim (Hizen ware, Arita type)",1689,
Covered jar,Jar,Asian Art,Porcelaneous ware with carved and full-relief decoration under celadon glaze (Longquan ware),1299,
Incense Burner in Shape of Lion (one of a pair),Incense burner,Asian Art,Porcelain with brown and raised decoration under celadon glaze (Jingdezhen Qingbai ware),1333,
Incense Burner in Shape of Lion (one of a pair),Incense burner,Asian Art,Porcelain with brown and raised decoration under celadon glaze (Jingdezhen Qingbai ware),1333,
Gourd-Shaped Sake Bottle (Tokkuri) with Carved Floral Design and Jewel,Bottle,Asian Art,"Porcelain with celadon glaze and cobalt blue under transparent glaze (Hizen ware, Arita type)",1799,
Pillow in Shape of Reclining Woman,Pillow,Asian Art,Porcelain with incised and carved decoration under celadon glaze (Jingdezhen Qingbai ware),1299,
Freshwater Jar (Mizusashi),Freshwater jar (mizusashi),Asian Art,"Porcelain with celadon glaze (Hizen ware, Arita type); lacquer cover",1666,
Dish with Cherry Blossoms and Textile Curtains,Dish,Asian Art,"Porcelain with celadon glaze, partial iron brown glaze, and cobalt blue under transparent glaze (Hizen ware, Nabeshima type)",1690,
Bowl,Bowl,Asian Art,Stoneware with mold-impressed design under celadon glaze (Northern celadon ware),1199,
Small Dish,Dish,Asian Art,Stoneware with mold-impressed decoration under celadon glaze (northern celadon ware),1199,
Plate,Plate,Asian Art,Stoneware with carved and incised decoration under celadon glaze (northern celadon ware),1199,
Jar,Jar,Asian Art,Porcelaneous stoneware with carved designs under celadon glaze (Northern celadon ware),1199,
Dish,Dish,Islamic Art,Stonepaste; painted in turquoise and two hues of blue under transparent glaze,1575,
Bottle,Bottle,Asian Art,Stoneware with incised decoration under celadon glaze,633,
Horse,Figure,Asian Art,Porcelain with celadon glaze,1989,Suzuki Osamu
Long-Necked Bottle,Bottle,Asian Art,White-bodied stoneware with celadon glaze,2008,Lee In-chin
Gourd-shaped ewer decorated with waterfowl and reeds,Ewer,Asian Art,Stoneware with carved and incised design under celadon glaze,1133,
Incense Burner,Incense burner,Asian Art,Porcelain with celadon glaze,1979,Suzuki Osamu
Ceramic Fragment,Fragment,Islamic Art,Celadon,1199,
Ceramic Fragment,Fragment,Islamic Art,Celadon,1099,
Dish with mythical creatures,Dish,Asian Art,Stoneware with relief and impressed decoration under celadon glaze (Northern ware),599,
Bowl,Bowl,Asian Art,Porcelain with celadon glaze,1999,Kawase Shinobu
Funerary jar,Urn,Asian Art,Stoneware with incised and carved decoration under celadon glaze (Longquan ware),1099,
Jar,Jar,Asian Art,Stoneware with celadon glaze (Longquan ware),1279,
Bowl,Bowl,Asian Art,Porcelanous ware with celadon glaze (Longquan ware),1279,
Jar,Jar,Asian Art,Stoneware with inlaid decoration under celadon glaze,1933,
Lion,Figure,Asian Art,Grey clay covered with a celadon glaze,1917,
Bowl,Bowl,Asian Art,Stoneware with celadon glaze (Longquan ware),1279,
Dish,Dish,Asian Art,"Porcelain with celadon glaze, Longquan ware",1399,
Bottle,Bottle,Asian Art,Stoneware with celadon glaze,1899,
Warmer bowl,Bowl,Asian Art,Stonware with celadon glaze (Longquan ware),1599,
Bowl,Bowl,Asian Art,Stoneware with celadon glaze,1133,
Vase,Vase,Asian Art,Stoneware with inlaid decoration under celadon glaze,1933,
Bottle,Bottle,Asian Art,Stoneware with inlaid decoration under celadon glaze,1999,
Vase,Vase,Asian Art,Stoneware with celadon glaze (Longquan ware),1499,
Shallow Bowl Decorated with Lotus Petals,Bowl,Asian Art,Porcelain with celadon glaze (Longquan ware),1279,
Conical cup,Cup,Asian Art,Stoneware painted with iron under celadon glaze,1299,
Vase,Vase,Asian Art,Porcelain with crackled celadon glaze,1849,
Ewer,Ewer,Asian Art,Stoneware with celadon glaze (Yue ware),1099,
Jar,Jar,Asian Art,Stoneware with incised decoration under celadon glaze,1199,
Dish with twin fish,Dish,Asian Art,Stoneware with celadon glaze (Longquan ware),1279,
Water pot,Water pot,Asian Art,Stoneware with celadon galze (Longquan ware),1368,
Tripod incense burner,Incense burner,Asian Art,Stoneware with celadon galze (Longquan ware),1368,
Vase,Vase,Asian Art,Stoneware with crackled celadon glaze (Guan ware),1299,
Meiping vase,Vase,Asian Art,Stoneware with celadon glaze (Longquan ware),1279,
Plate,Plate,Asian Art,Pottery with celadon glaze (Longquan ware),1279,
Incense Burner,Incense burner,Asian Art,Stoneware with celadon glaze (Longquan ware),1279,
Chrysanthemum Bowl,Bowl,Asian Art,Porcelaneous ware covered with a celadon glaze,1299,
Covered Jar,Covered jar,Asian Art,Porcelanous ware with celadon glaze,1299,
Bowl,Bowl,Asian Art,Stoneware with celadon glaze,1899,
Sherd,Sherd,Asian Art,Stoneware with celadon glaze (Yue ware),999,
Bowl with lotus petals,Bowl,Asian Art,Stoneware with crackled celadon glaze (Longquan ware),1279,
Tiered food container,Food container,Asian Art,Stoneware with celadon glaze (Yue ware),1099,
Vase,Vase,Asian Art,Stoneware with crackled celadon glaze (Guan ware),1279,
Washer with twin fish,Washer,Asian Art,Stoneware with celadon glaze (Longquan ware),1279,
Bowl,Bowl,Asian Art,Stoneware with inlaid decoration under celadon glaze,1299,
Vase,Vase,Asian Art,Porcelain with celadon glaze (Jingdezhen ware),1799,
Bottle with Lotus Pond,Bottle,Asian Art,Stoneware with incised decoration under celadon glaze,1149,
Bowl,Bowl,Asian Art,Stoneware with inlaid decoration under celadon glaze,1399,
Bowl,Bowl,Asian Art,Stoneware with inlaid decoration under celadon glaze,1299,
Vase with Inlaid Designs,Vase,Asian Art,Stoneware under celadon glaze,1933,
Bowl,Bowl,Asian Art,Stoneware with inlaid decoration under celadon glaze,1299,
Jar,Jar,Asian Art,Stoneware with incised decoration under celadon glaze,1299,
Vase,Vase,Asian Art,"Porcelain (Owari pâte), celadon glaze,  designs in high relief, including",1880,Inoue Ryōsai III
Bowl,Bowl,Asian Art,Stoneware with incised decoration under celadon glaze (Longquan ware),1499,
"Vertical flute decorated with chrysanthemums, cranes, and clouds",Flute,Asian Art,Stoneware with inlaid design under celadon glaze,1233,
Stem Cup with Chrysanthemum Scroll,Stem cup,Asian Art,Porcelain with molded decoration under transparent glaze (Jingdezhen Shufu ware),1399,
Bottle with an entwined dragon,Bottle,Asian Art,Stoneware with celadon glaze,1644,
Water pot in the shape of a bird,Water pot,Asian Art,Stoneware with celadon glaze (Yue ware),399,
Vase,Vase,Asian Art,Porcelain with celadon glaze (Jingdezhen ware),1795,
Fragment of a box,Fragment,Asian Art,Stoneware with celadon glaze,589,
Bottle with Two Handles,Bottle,Asian Art,Porcelain with celadon glaze,1733,
Vase for a Pillar,Vase,Asian Art,Porcelain with celadon glaze,1899,
Three Fragments of Yue Ware Bowls,Fragments,Islamic Art,Stoneware; celadon glazed (Yue ware),899,
Kiln waster of a lotus bowl,Waster,Asian Art,Stoneware with celadon glaze (Longquan ware),1279,
Fragment of a bowl,Fragment,Asian Art,Stoneware with celadon glaze,1279,
Celadon Flower Vase (Hanaire),Vase,Asian Art,Porcelain with celadon glaze; Hizen ware,1666,
Six-lobed bowl,Bowl,Asian Art,Stoneware with celadon glaze,1133,
Bowl,Bowl,Asian Art,Stoneware with carved decoration under celadon glaze,1133,
Bowl,Bowl,Asian Art,Stoneware with inlaid decoration under celadon glaze,1199,
Vase,Vase,Asian Art,Porcelain with incised decoration under celadon glaze,1733,
Jar,Jar,Asian Art,Stoneware with incised decoration under celadon glaze,1150,
Bowl,Bowl,Asian Art,Stoneware with inlaid decoration under celadon glaze,1333,
Bowl,Bowl,Asian Art,Stoneware with incised decoration under celadon glaze,1199,
Fragment of a Bowl,Fragment,Asian Art,Stoneware with incised design under celadon glaze (Longquan ware),1279,
Jar with flowers,Jar,Asian Art,Stoneware with incised decoration under celadon glaze (Longquan ware),1599,
Vase,Vase,Asian Art,Stoneware with incised decoration under celadon glaze (Longquan ware),1599,
"Incense burner with characters ""longevity, mountain, fortune, sea"" (shou shan fu hai)",Incense burner,Asian Art,Stoneware with celadon glaze (Longquan ware),1279,
Chicken-Headed Ewer,Ewer,Asian Art,Stoneware with celadon glaze (Yue ware),499,
Maebyeong with lotus decoration,Vase,Asian Art,Stoneware with carved and incised design under celadon glaze,1133,
Jar with Peony Scroll,Jar,Asian Art,Stoneware with carved decoration under celadon glaze (Yaozhou ware),1199,
Vessel in the shape of a kneeling ram,Vessel,Asian Art,Stoneware with celadon glaze (Yue ware),450,
Fragment of a bowl,Fragment,Asian Art,Stoneware with celadon glaze,1099,
Fragment of a bowl,Fragment,Asian Art,Stoneware with celadon glaze,-256,
Fragment of a Bowl,Fragment,Asian Art,Stoneware with celadon glaze (Longquan ware),1279,
Fragment of a box,Fragment,Asian Art,Stoneware with celadon glaze (Yue ware),899,
Bowl with decoration of fish,Bowl,Asian Art,Stoneware with inlaid design under celadon glaze,1199,
Sencha Teapot (Kyūsu) with Jewel-Chasing Dragons,Teapot,Asian Art,Porcelain with molded patterns and celadon glaze (Kyoto ware),1833,Aoki Mokubei
Jar with peony scroll,Jar,Asian Art,Porcelain with raised decoration under celadon glaze (Longquan ware),1368,
Meiping vase with floral patterns,Vase,Asian Art,Stonware with incised decoration under celadon glaze (Longquan ware),1368,
Ewer with lug handles,Ewer,Asian Art,Stoneware with incised decoration under celadon glaze (Yue ware),960,
Vessel in shape of a crouching tiger,Vessel,Asian Art,Stoneware with celadon glaze,420,
Vase in Shape of Ancient Bronze Vessel,Vase,Asian Art,Porcelain with celadon glaze (Longquan ware),1599,
Oil bottle decorated with peony leaves,Oil bottle,Asian Art,Stoneware with inlaid design under celadon glaze,1199,
Bottle decorated with chrysanthemums and lotus petals,Bottle,Asian Art,Stoneware with stamped and inlaid design under celadon glaze,1399,
Dish,Dish,Asian Art,Porcelain with incised decoration under celadon glaze (Longquan ware),1435,
Box from set of five decorated with cranes and clouds,Box,Asian Art,Stoneware with inlaid design under celadon glaze,1399,
Box from set of five decorated with cranes and clouds,Box,Asian Art,Stoneware with inlaid design under celadon glaze,1399,
Box from set of five decorated with cranes and clouds,Box,Asian Art,Stoneware with inlaid design under celadon glaze,1399,
Box from set of five decorated with cranes and clouds,Box,Asian Art,Stoneware with inlaid design under celadon glaze,1399,
Bowl,Bowl,Asian Art,Stoneware with carved and stippled decoration under celadon glaze,1279,
Bowl,Bowl,Asian Art,Stoneware with relief decoration under celadon glaze (Longquan ware),1299,
Bowl,Bowl,Asian Art,Stoneware with mold-relief decoration under celadon glaze,1199,
Bowl,Bowl,Asian Art,Stoneware with mold-relief decoration under celadon glaze,1133,
Bowl,Bowl,Asian Art,Stoneware with mold-relief decoration under celadon glaze,1133,
Bowl,Bowl,Asian Art,Stoneware with mold-relief decoration under celadon glaze,1133,
Box with Cover,Box with cover,Asian Art,Stoneware with inlaid decoration under celadon glaze,1999,
Dish,Dish,Asian Art,Stoneware with mold-relief decoration under celadon glaze,1150,
Bowl,Bowl,Asian Art,Stoneware with mold-relief decoration under celadon glaze,1199,
Dish,Dish,Asian Art,Stoneware with mold-relief decoration under celadon glaze,1150,
Cup,Cup,Asian Art,Stoneware with inlaid decoration of chrysanthemums under celadon glaze,1166,
Octagonal Dish,Dish,Asian Art,"Stoneware with inlaid decoration of chrysanthemums
under celadon glaze",1299,
Cup stand,Cup stand,Asian Art,Stoneware with incised decoration under celadon glaze (Yue ware),1099,
Oil Bottle,Oil bottle,Asian Art,Stoneware with iron-brown decoration of leaves under celadon glaze,1199,
Gourd-Shaped Bottle (one of a pair),Bottle,Asian Art,Porcelain with celadon glaze (Jingdezhen ware),1799,
Figure of a Man Astride a Mythical Beast,Figure,Asian Art,Stoneware with celadon glaze (Yue ware),316,
Jar with floral decorations and musicians,Jar,Asian Art,Stoneware with applied decoration under celadon glaze,577,
Basin decorated with peonies,Basin,Asian Art,Stoneware with inlaid design under celadon glaze,1200,
Gourd-Shaped Bottle (one of a pair),Bottle,Asian Art,Porcelain with celadon glaze (Jingdezhen ware),1799,
Vessel in the shape of a mythical creature,Vessel,Asian Art,Stoneware with celadon glaze (Yue ware),316,
Maebyeong decorated with lotus,Vase,Asian Art,Stoneware with iron-brown design under celadon glaze,1099,
Wine Ewer with Lid,Wine ewer with lid,Asian Art,Porcelaneous stoneware with incised decoration under celadon glaze,1199,
Bowl decorated with foliate rim and peony,Bowl,Asian Art,Stoneware with mold-impressed and incised design under celadon glaze,1133,
Vase in Shape of Archaic Chinese bronze,Vase,Asian Art,"Porcelain with celadon glaze (Hizen ware, Nabeshima type)",1799,
Water Jar with Plum Tree,Covered pot,Asian Art,Porcelain with blue-and-white slip under celadon glaze,1900,Katō Tomotarō
Vase with Stand,Vase with stand,Asian Art,Stoneware with inlaid decoration under celadon glaze,1249,
Pigment Box with Cover,Box with cover,Asian Art,Stoneware with inlaid decoration under celadon glaze,1933,
Bowl with lotus,Bowl,Asian Art,Stoneware with incised decoration under celadon glaze (Yaozhou ware),1199,
Bowl with floral patterns,Bowl,Asian Art,Stoneware with incised decoration under a celadon glaze (Longquan ware),1368,
Wine Ewer with Lid,Wine ewer with lid,Asian Art,Stoneware painted in iron-brown under celadon glaze,1299,
Ceramic Fragment,Fragment,Islamic Art,Stoneware with celadon glaze (Yue ware),999,
Arhat,Figure,Asian Art,Stoneware with iron-brown decoration under celadon glaze,1399,
Ceramic Fragment,Fragment,Islamic Art,"Earthenware; white slip, under greyish celadon glaze",1399,
Bottle with floral scrolls,Vase,Asian Art,Porcelain with celadon glaze (Jingdezhen ware),1799,
Basin,Basin,Asian Art,Stoneware with incised decoration under celadon glaze and biscuit relief (Longquan ware),1433,
Kiln Waster,Kiln waster,Asian Art,Porcelaneous ware and stoneware with celadon glazes (Longquan ware),1299,
Bottle,Bottle,Asian Art,Stoneware with incised decoration of lotus flowers under celadon glaze,1133,
Maebyeong,Vase,Asian Art,"Stoneware with underglaze iron-brown floral design, under celadon glaze",1199,
Stand,Stand,Asian Art,Stoneware with incised decoration of lotus petals under celadon glaze,1150,
Saucer,Saucer,Asian Art,Stoneware with incised decoration under a celadon glaze (Longquan ware),1127,
